Strawberry,HortasDoVale-West (HDVW) - bed 24,4,,2021-W04 Strawberry HVW24,harvest from 2021-W04 Strawberry HVW24,TRUE,2022-01-03,,,,plantings,weight,Kg
Strawberry,HortasDoVale-West (HDVW) - bed 25,"4,35",,2021-W04 Strawberry HVW25,harvest from 2021-W04 Strawberry HVW25,TRUE,2022-01-03,,,,plantings,weight,Kg
Turnip greens,HortasDoVale-East (HDVE) - bed 25 north section,"2,8",,2021-W34 Turnip greens HVE25-N,harvest from 2021-W34 Turnip greens HVE25-N,TRUE,2022-01-03,,,,plantings,weight,Kg
Turnip greens,HortasDoVale-East (HDVE) - bed 25 south section,"1,2",,2021-W38 Turnip greens HVE25-S,harvest from 2021-W38 Turnip greens HVE25-S,TRUE,2022-01-03,,,,plantings,weight,Kg
Turnip,HortasDoVale-West (HDVW) - bed 18 south section,"13,7",,2021-W39 Turnip HVW18-S,harvest from 2021-W39 Turnip HVW18-S,TRUE,2022-01-03,,,,plantings,weight,Kg
Peppers,HortasDoVale-West (HDVW) - bed 20 north section,"2,5",,2021-W24 Peppers HVW20-N,harvest from 2021-W24 Peppers HVW20-N,TRUE,2022-01-03,,,,plantings,weight,Kg
Peppers,HortasDoVale-West (HDVW) - bed 5 south section,"0,5",,2021-W24 Peppers HVW05-S,harvest from 2021-W24 Peppers HVW05-S,TRUE,2022-01-03,,,,plantings,weight,Kg
Peppers,Winter Green House - bed 2,"0,75",,2021-W35 Peppers WGH2,harvest from 2021-W35 Peppers WGH2,TRUE,2022-01-03,,,,plantings,weight,Kg
Peppers,HortasDoVale-West (HDVW) - bed 20 north section,4,,2021-W24 Peppers HVW20-N,harvest from 2021-W24 Peppers HVW20-N,TRUE,2022-01-03,,,,plantings,weight,Kg
Peppers,HortasDoVale-West (HDVW) - bed 5 south section,"1,27",,2021-W24 Peppers HVW05-S,harvest from 2021-W24 Peppers HVW05-S,TRUE,2022-01-03,,,,plantings,weight,Kg
Radishes,HortasDoVale-East (HDVE) - bed 13 north section,6,,2021-W43 Radishes HVE13-N,harvest from 2021-W43 Radishes HVE13-N,TRUE,2022-01-03,,,,plantings,weight,Kg
Horse radish,HortasDoVale-West (HDVW) - bed 10 south section,"4,3",,2021-W34 Horse radish HVW10-S,harvest from 2021-W34 Horse radish HVW10-S,TRUE,2022-01-03,,,,plantings,weight,Kg
Rucula,HortasDoVale-West (HDVW) - bed 23 north section,2,,2021-W34 Rucula HVW23-N,harvest from 2021-W34 Rucula HVW23-N,TRUE,2022-01-03,,,,plantings,weight,Kg
Parsley,Summer Green House (SGH) - bed 3 south section,1,,2021-W45 Parsley SGH3-S,harvest from 2021-W45 Parsley SGH3-S,TRUE,2022-01-03,,,,plantings,weight,Kg
Tomato roma,Winter Green House - bed 2,"11,15",,2021-W34 Tomato roma WGH2,harvest from 2021-W34 Tomato roma WGH2,TRUE,2022-01-03,,,,plantings,weight,Kg
Tomatos small,Winter Green House - bed 1,"0,35",,2021-W13 Tomatos small WGH1,harvest from 2021-W13 Tomatos small WGH1,TRUE,2022-01-03,,,,plantings,weight,Kg
Tomatos varied,Winter Green House - bed 1,"3,2",,2021-W13 Tomatos varied WGH1,harvest from 2021-W13 Tomatos varied WGH1,TRUE,2022-01-03,,,,plantings,weight,Kg
species,Areas,Quantity value,Notes,Asset names,Log name,Done,Date,Archive assets,Quantity label,Lot number,Categories,Quantity measure,Quantity unit
Swiss chard,HortasDoVale-West (HDVW) - bed 13 north section,"5,5",,2021-W27 Swiss chard HVW13-N,harvest from 2021-W27 Swiss chard HVW13-N,TRUE,2022-01-10,,,,plantings,weight,Kg
Swiss chard,HortasDoVale-West (HDVW) - bed 15 south section,"5,5",,2021-W36 Swiss chard HVW15-S,harvest from 2021-W36 Swiss chard HVW15-S,TRUE,2022-01-10,,,,plantings,weight,Kg
Swiss chard,HortasDoVale-West (HDVW) - bed 4 north section,4,,2020-0 Swiss chard Autumn HVW04-N,harvest from 2020-0 Swiss chard Autumn HVW04-N,TRUE,2022-01-10,,,,plantings,weight,Kg
Celery,HortasDoVale-West (HDVW) - bed 1,"8,9",,2021-W27 Celery HVW01-S,harvest from 2021-W27 Celery HVW01-S,TRUE,2022-01-10,,,,plantings,weight,Kg
Celery,HortasDoVale-West (HDVW) - bed 5,"3,4",,2021-W24 Celery HVW05-S,harvest from 2021-W24 Celery HVW05-S,TRUE,2022-01-10,,,,plantings,weight,Kg
Lettuce,HortasDoVale-East (HDVE) - bed 11,"0,6",,2021-W43 Lettuce HVE11-N,harvest from 2021-W43 Lettuce HVE11-N,TRUE,2022-01-10,,,,plantings,weight,Kg
Lettuce,HortasDoVale-West (HDVW) - bed 15 south section,2,,2021-W42 Lambs lettuce HVW15-S,harvest from 2021-W42 Lambs lettuce HVW15-S,TRUE,2022-01-10,,,,plantings,weight,Kg
Lettuce,HortasDoVale-West (HDVW) - bed 18,"5,4",,2021-W43 Lettuce HVW18-N,harvest from 2021-W43 Lettuce HVW18-N,TRUE,2022-01-10,,,,plantings,weight,Kg
Lettuce,Winter Green House - bed 6,"0,8",,2021-W47 Lettuce WGH6,harvest from 2021-W47 Lettuce WGH6,TRUE,2022-01-10,,,,plantings,weight,Kg
Leek,HortasDoVale-East (HDVE) - bed 13 south section,"16,2",,2021-W32 Leek HVE13-S,harvest from 2021-W32 Leek HVE13-S,TRUE,2022-01-10,,,,plantings,weight,Kg
Dill,HortasDoVale-West (HDVW) - bed 15 south section,"0,1",,2021-W36 Dill HVW15-S,harvest from 2021-W36 Dill HVW15-S,TRUE,2022-01-10,,,,plantings,weight,Kg
Aubergine,HortasDoVale-West (HDVW) - bed 14,"0,4",,2021-W15 Aubergine HVW14,harvest from 2021-W15 Aubergine HVW14,TRUE,2022-01-10,,,,plantings,weight,Kg
Beetroot,HortasDoVale-West (HDVW) - bed 16,"6,5",,2021-W39 Beetroot HVW16,harvest from 2021-W39 Beetroot HVW16,TRUE,2022-01-10,,,,plantings,weight,Kg
Broccoli,HortasDoVale-East (HDVE) - bed 11 north section,"0,7",,2021-W42 Broccoli HVE11-N,harvest from 2021-W42 Broccoli HVE11-N,TRUE,2022-01-10,,,,plantings,weight,Kg
Broccoli,HortasDoVale-East (HDVE) - bed 11 north section,"0,15",,2021-W42 Broccoli HVE11-N,harvest from 2021-W42 Broccoli HVE11-N,TRUE,2022-01-10,,,,plantings,weight,Kg
Broccoli,HortasDoVale-West (HDVW) - bed 16,"1,55",,2021-W39 Broccoli HVW16-N,harvest from 2021-W39 Broccoli HVW16-N,TRUE,2022-01-10,,,,plantings,weight,Kg
Broccoli,HortasDoVale-West (HDVW) - bed 21,"3,4",,2021-W30 Broccoli HVW21,harvest from 2021-W30 Broccoli HVW21,TRUE,2022-01-10,,,,plantings,weight,Kg
Spring onion,HortasDoVale-East (HDVE) - bed 10,4,,2021-W35 Spring onion HVE10,harvest from 2021-W35 Spring onion HVE10,TRUE,2022-01-10,,,,plantings,weight,Kg
Carrot,HortasDoVale-East (HDVE) - bed 3,6,,2021-W38 Carrot HVE03,harvest from 2021-W38 Carrot HVE03,TRUE,2022-01-10,,,,plantings,weight,Kg
Coriander,Summer Green House (SGH) - bed 2 north section,"4,125",,2021-W44 Coriander SGH2-N,harvest from 2021-W44 Coriander SGH2-N,TRUE,2022-01-10,,,,plantings,weight,Kg
Curly kale,HortasDoVale-West (HDVW) - bed 16 north section,"0,25",,2021-W39 Curly kale HVW16-N,harvest from 2021-W39 Curly kale HVW16-N,TRUE,2022-01-10,,,,plantings,weight,Kg
Green cabbage,HortasDoVale-West (HDVW) - bed 19,"1,1",,2021-W32 Green cabbage HVW19,harvest from 2021-W32 Green cabbage HVW19,TRUE,2022-01-10,,,,plantings,weight,Kg
Green cabbage,HortasDoVale-West (HDVW) - bed 4 south section,"5,1",,2021-W36 Green cabbage HVW04-S,harvest from 2021-W36 Green cabbage HVW04-S,TRUE,2022-01-10,,,,plantings,weight,Kg
Kolrabi,HortasDoVale-West (HDVW) - bed 4 south section,"1,9",,2021-W37 Kolrabi HVW04-S,harvest from 2021-W37 Kolrabi HVW04-S,TRUE,2022-01-10,,,,plantings,weight,Kg
Dinossaur kale,HortasDoVale-West (HDVW) - bed 16 north section,"1,55",,2021-W39 Dinossaur kale HVW16-N,harvest from 2021-W39 Dinossaur kale HVW16-N,TRUE,2022-01-10,,,,plantings,weight,Kg
Dinossaur kale,HortasDoVale-West (HDVW) - bed 9 north section,"3,45",,2021-W32 Dinossaur kale HVW09-N,harvest from 2021-W32 Dinossaur kale HVW09-N,TRUE,2022-01-10,,,,plantings,weight,Kg
Brussel sprouts,HortasDoVale-West (HDVW) - bed 11 south section,"2,5",,2021-W34 Brussel sprouts HVW11-S,harvest from 2021-W34 Brussel sprouts HVW11-S,TRUE,2022-01-10,,,,plantings,weight,Kg
Coaulifower,HortasDoVale-West (HDVW) - bed 4 south section,"0,6",,2021-W36 Coaulifower HVW04-S,harvest from 2021-W36 Coaulifower HVW04-S,TRUE,2022-01-10,,,,plantings,weight,Kg
Zuccini,HortasDoVale-West (HDVW) - bed 5,"2,8",,2021-W23 Zuccini HVW05-N,harvest from 2021-W23 Zuccini HVW05-N,TRUE,2022-01-10,,,,plantings,weight,Kg
Zuccini,Winter Green House - bed 4,"1,15",,2021-W41 Zuccini WGH4,harvest from 2021-W41 Zuccini WGH4,TRUE,2022-01-10,,,,plantings,weight,Kg
Spinaches,HortasDoVale-East (HDVE) - bed 16 south section,"3,5",,2021-W47 Spinaches HVE16-S,harvest from 2021-W47 Spinaches HVE16-S,TRUE,2022-01-10,,,,plantings,weight,Kg
Spinaches,HortasDoVale-West (HDVW) - bed 15 south section,"1,5",,2021-W41 Spinaches HVW15-S,harvest from 2021-W41 Spinaches HVW15-S,TRUE,2022-01-10,,,,plantings,weight,Kg
N.Z. Spinaches,HortasDoVale-West (HDVW) - bed 23 south section,"4,4",,2021-W38 N.Z. Spinaches HVW23-S,harvest from 2021-W38 N.Z. Spinaches HVW23-S,TRUE,2022-01-10,,,,plantings,weight,Kg
Fennel,HortasDoVale-West (HDVW) - bed 23 north section,"2,3",,2021-W36 Fennel bulb HVW23-N,harvest from 2021-W36 Fennel bulb HVW23-N,TRUE,2022-01-10,,,,plantings,weight,Kg
Sprouting turnip,HortasDoVale-East (HDVE) - bed 12 north section,"0,8",,2021-W43 Sprouting turnip HVE12-N,harvest from 2021-W43 Sprouting turnip HVE12-N,TRUE,2022-01-10,,,,plantings,weight,Kg
Sprouting turnip,HortasDoVale-East (HDVE) - bed 25 south section,"2,3",,2021-W38 Sprouting turnip HVE25-S,harvest from 2021-W38 Sprouting turnip HVE25-S,TRUE,2022-01-10,,,,plantings,weight,Kg
Hot peppers,HortasDoVale-West (HDVW) - bed 20 south section,"0,2",,2021-W24 Hot peppers HVW20-S,harvest from 2021-W24 Hot peppers HVW20-S,TRUE,2022-01-10,,,,plantings,weight,Kg
Mizuna purple,HortasDoVale-East (HDVE) - bed 16 north section,1,,2021-W46 Mizuna purple HVE16-N,harvest from 2021-W46 Mizuna purple HVE16-N,TRUE,2022-01-10,,,,plantings,weight,Kg
Mizuna purple,HortasDoVale-West (HDVW) - bed 23 north section,"1,1",,2021-W34 Mizuna purple HVW23-N,harvest from 2021-W34 Mizuna purple HVW23-N,TRUE,2022-01-10,,,,plantings,weight,Kg
Mizuna green,Summer Green House (SGH) - bed 2 north section,"1,3",,2021-W44 Mizuna green SGH2-N,harvest from 2021-W44 Mizuna green SGH2-N,TRUE,2022-01-10,,,,plantings,weight,Kg
Mizuna green,Summer Green House (SGH) - bed 2 north section,"1,2",,2021-W44 Mizuna green SGH2-N,harvest from 2021-W44 Mizuna green SGH2-N,TRUE,2022-01-10,,,,plantings,weight,Kg
Strawberry,HortasDoVale-West (HDVW) - bed 24,"1,32",,2021-W04 Strawberry HVW24,harvest from 2021-W04 Strawberry HVW24,TRUE,2022-01-10,,,,plantings,weight,Kg
Strawberry,HortasDoVale-West (HDVW) - bed 25,"1,52",,2021-W04 Strawberry HVW25,harvest from 2021-W04 Strawberry HVW25,TRUE,2022-01-10,,,,plantings,weight,Kg
Turnip greens,HortasDoVale-East (HDVE) - bed 25 south section,"2,2",,2021-W38 Turnip greens HVE25-S,harvest from 2021-W38 Turnip greens HVE25-S,TRUE,2022-01-10,,,,plantings,weight,Kg
Turnip,HortasDoVale-West (HDVW) - bed 18 south section,"7,2",,2021-W39 Turnip HVW18-S,harvest from 2021-W39 Turnip HVW18-S,TRUE,2022-01-10,,,,plantings,weight,Kg
Peppers,HortasDoVale-West (HDVW) - bed 20 north section,"0,46",,2021-W24 Peppers HVW20-N,harvest from 2021-W24 Peppers HVW20-N,TRUE,2022-01-10,,,,plantings,weight,Kg
Peppers,HortasDoVale-West (HDVW) - bed 5 south section,"1,6",,2021-W24 Peppers HVW05-S,harvest from 2021-W24 Peppers HVW05-S,TRUE,2022-01-10,,,,plantings,weight,Kg
Padron peppers,HortasDoVale-West (HDVW) - bed 20 south section,"0,52",,2021-W24 Padron peppers HVW20-S,harvest from 2021-W24 Padron peppers HVW20-S,TRUE,2022-01-10,,,,plantings,weight,Kg
Peppers,HortasDoVale-West (HDVW) - bed 20 north section,"0,6",,2021-W24 Peppers HVW20-N,harvest from 2021-W24 Peppers HVW20-N,TRUE,2022-01-10,,,,plantings,weight,Kg
Radishes,HortasDoVale-East (HDVE) - bed 13 north section,"5,1",,2021-W43 Radishes HVE13-N,harvest from 2021-W43 Radishes HVE13-N,TRUE,2022-01-10,,,,plantings,weight,Kg
Horse radish,HortasDoVale-West (HDVW) - bed 10 south section,"6,03",,2021-W34 Horse radish HVW10-S,harvest from 2021-W34 Horse radish HVW10-S,TRUE,2022-01-10,,,,plantings,weight,Kg
Rucula,HortasDoVale-East (HDVE) - bed 16 north section,"2,1",,2021-W46 Rucula HVE16-N,harvest from 2021-W46 Rucula HVE16-N,TRUE,2022-01-10,,,,plantings,weight,Kg
Rucula,HortasDoVale-West (HDVW) - bed 23 north section,"2,2",,2021-W34 Rucula HVW23-N,harvest from 2021-W34 Rucula HVW23-N,TRUE,2022-01-10,,,,plantings,weight,Kg
Parsley,Summer Green House (SGH) - bed 3 north section,"0,9",,2021-W27 Parsley SGH3-N,harvest from 2021-W27 Parsley SGH3-N,TRUE,2022-01-10,,,,plantings,weight,Kg
Parsley,Summer Green House (SGH) - bed 4 north section,"0,3",,2021-W29 Parsley SGH4-N,harvest from 2021-W29 Parsley SGH4-N,TRUE,2022-01-10,,,,plantings,weight,Kg
Parsley,HortasDoVale-West (HDVW) - bed 15 north section,"1,05",,2021-W31 Parsley HVW15-N,harvest from 2021-W31 Parsley HVW15-N,TRUE,2022-01-10,,,,plantings,weight,Kg
Tomato roma,Winter Green House - bed 2,6,,2021-W34 Tomato roma WGH2,harvest from 2021-W34 Tomato roma WGH2,TRUE,2022-01-10,,,,plantings,weight,Kg
Tomatos varied,Winter Green House - bed 1,"0,66",,2021-W13 Tomatos varied WGH1,harvest from 2021-W13 Tomatos varied WGH1,TRUE,2022-01-10,,,,plantings,weight,Kg
Swiss chard,HortasDoVale-West (HDVW) - bed 13 north section,"2,3",,2021-W27 Swiss chard HVW13-N,harvest from 2021-W27 Swiss chard HVW13-N,TRUE,2022-01-17,,,,plantings,weight,Kg
Swiss chard,HortasDoVale-West (HDVW) - bed 15 south section,"3,6",,2021-W36 Swiss chard HVW15-S,harvest from 2021-W36 Swiss chard HVW15-S,TRUE,2022-01-17,,,,plantings,weight,Kg
Celery,HortasDoVale-West (HDVW) - bed 1,"6,5",,2021-W27 Celery HVW01-S,harvest from 2021-W27 Celery HVW01-S,TRUE,2022-01-17,,,,plantings,weight,Kg
Celery,HortasDoVale-West (HDVW) - bed 15 north section,"1,4",,2021-W31 Celery HVW15-N,harvest from 2021-W31 Celery HVW15-N,TRUE,2022-01-17,,,,plantings,weight,Kg
Celery,HortasDoVale-West (HDVW) - bed 5,"0,75",,2021-W24 Celery HVW05-S,harvest from 2021-W24 Celery HVW05-S,TRUE,2022-01-17,,,,plantings,weight,Kg
Celery,HortasDoVale-West (HDVW) - bed 8,"3,2",,2021-W22 Celery HVW08-N,harvest from 2021-W22 Celery HVW08-N,TRUE,2022-01-17,,,,plantings,weight,Kg
Lettuce,Winter Green House - bed 6,7,,2021-W47 Lettuce WGH6,harvest from 2021-W47 Lettuce WGH6,TRUE,2022-01-17,,,,plantings,weight,Kg
Leek,HortasDoVale-East (HDVE) - bed 13 south section,"15,3",,2021-W32 Leek HVE13-S,harvest from 2021-W32 Leek HVE13-S,TRUE,2022-01-17,,,,plantings,weight,Kg
Aubergine,HortasDoVale-West (HDVW) - bed 14,"0,65",,2021-W15 Aubergine HVW14,harvest from 2021-W15 Aubergine HVW14,TRUE,2022-01-17,,,,plantings,weight,Kg
Beetroot,HortasDoVale-East (HDVE) - bed 11,"9,9",,2021-W42 Beetroot HVE11-N,harvest from 2021-W42 Beetroot HVE11-N,TRUE,2022-01-17,,,,plantings,weight,Kg
Beetroot,HortasDoVale-West (HDVW) - bed 16,"2,9",,2021-W39 Beetroot HVW16,harvest from 2021-W39 Beetroot HVW16,TRUE,2022-01-17,,,,plantings,weight,Kg
Broccoli,HortasDoVale-East (HDVE) - bed 11 north section,"0,8",,2021-W42 Broccoli HVE11-N,harvest from 2021-W42 Broccoli HVE11-N,TRUE,2022-01-17,,,,plantings,weight,Kg
Broccoli,HortasDoVale-West (HDVW) - bed 16,"1,5",,2021-W39 Broccoli HVW16-N,harvest from 2021-W39 Broccoli HVW16-N,TRUE,2022-01-17,,,,plantings,weight,Kg
Broccoli,HortasDoVale-West (HDVW) - bed 21,7,,2021-W30 Broccoli HVW21,harvest from 2021-W30 Broccoli HVW21,TRUE,2022-01-17,,,,plantings,weight,Kg
Spring onion,HortasDoVale-East (HDVE) - bed 10,"4,32",,2021-W35 Spring onion HVE10,harvest from 2021-W35 Spring onion HVE10,TRUE,2022-01-17,,,,plantings,weight,Kg
Carrot,HortasDoVale-East (HDVE) - bed 2,7,,2021-W22 Carrot HVE02,harvest from 2021-W22 Carrot HVE02,TRUE,2022-01-17,,,,plantings,weight,Kg
Coriander,Summer Green House (SGH) - bed 2 north section,2,,2021-W44 Coriander SGH2-N,harvest from 2021-W44 Coriander SGH2-N,TRUE,2022-01-17,,,,plantings,weight,Kg
Coriander,Winter Green House - bed 2,"1,55",,#N/A,#N/A,TRUE,2022-01-17,,,,plantings,weight,Kg
Curly kale,HortasDoVale-West (HDVW) - bed 16 north section,"0,25",,2021-W39 Curly kale HVW16-N,harvest from 2021-W39 Curly kale HVW16-N,TRUE,2022-01-17,,,,plantings,weight,Kg
Green cabbage,HortasDoVale-East (HDVE) - bed 11 south section,"4,3",,2021-W42 Green cabbage HVE11-S,harvest from 2021-W42 Green cabbage HVE11-S,TRUE,2022-01-17,,,,plantings,weight,Kg
Kolrabi,HortasDoVale-West (HDVW) - bed 18 north section,"0,76",,2021-W43 Kolrabi HVW18-N,harvest from 2021-W43 Kolrabi HVW18-N,TRUE,2022-01-17,,,,plantings,weight,Kg
Dinossaur kale,HortasDoVale-West (HDVW) - bed 16 north section,"1,25",,2021-W39 Dinossaur kale HVW16-N,harvest from 2021-W39 Dinossaur kale HVW16-N,TRUE,2022-01-17,,,,plantings,weight,Kg
Dinossaur kale,HortasDoVale-West (HDVW) - bed 9 north section,"2,75",,2021-W32 Dinossaur kale HVW09-N,harvest from 2021-W32 Dinossaur kale HVW09-N,TRUE,2022-01-17,,,,plantings,weight,Kg
Coaulifower,HortasDoVale-East (HDVE) - bed 11 south section,"1,5",,2021-W42 Coaulifower HVE11-S,harvest from 2021-W42 Coaulifower HVE11-S,TRUE,2022-01-17,,,,plantings,weight,Kg
Zuccini,Winter Green House - bed 3,"0,7",,2021-W41 Zuccini WGH3,harvest from 2021-W41 Zuccini WGH3,TRUE,2022-01-17,,,,plantings,weight,Kg
Zuccini,HortasDoVale-West (HDVW) - bed 5,"2,2",,2021-W23 Zuccini HVW05-N,harvest from 2021-W23 Zuccini HVW05-N,TRUE,2022-01-17,,,,plantings,weight,Kg
Spinaches,HortasDoVale-East (HDVE) - bed 16 south section,"6,3",,2021-W47 Spinaches HVE16-S,harvest from 2021-W47 Spinaches HVE16-S,TRUE,2022-01-17,,,,plantings,weight,Kg
N.Z. Spinaches,HortasDoVale-West (HDVW) - bed 23 south section,"3,5",,2021-W38 N.Z. Spinaches HVW23-S,harvest from 2021-W38 N.Z. Spinaches HVW23-S,TRUE,2022-01-17,,,,plantings,weight,Kg
